Cluster 	Subclusters 	Members 	Avg Length (bp) 	Avg GC% 	Life Cycle 	Genera
A 	21 	804 	51,619 	63.3 	Temperate 	Gordonia,Mycobacterium
AA 	-- 	2 	140,785 	67.4 	Temperate 	Mycobacterium
AB 	-- 	5 	49,672 	58.6 	Lytic 	Mycobacterium
AC 	-- 	4 	70,029 	49.8 	Lytic 	Mycobacterium
AD 	-- 	4 	64,670 	66.1 	Unknown 	Mycobacterium
AE 	-- 	3 	71,540 	58.8 	Unknown 	Mycobacterium
AF 	-- 	2 	62,538 	65.2 	Unknown 	Mycobacterium
AG 	-- 	2 	55,047 	66.0 	Unknown 	Mycobacterium
AH 	-- 	2 	54,800 	70.4 	Unknown 	Mycobacterium
AK 	-- 	84 	43,582 	61.1 	Lytic 	Arthrobacter
AL 	-- 	8 	59,827 	65.0 	Lytic 	Arthrobacter
AM 	-- 	20 	58,186 	45.2 	Lytic 	Arthrobacter
AN 	-- 	41 	15,520 	60.4 	Lytic 	Arthrobacter
AO 	3 	26 	50,395 	62.1 	Lytic 	Arthrobacter
AP 	4 	12 	68,160 	65.3 	Lytic 	Arthrobacter
AQ 	-- 	13 	58,998 	53.0 	Lytic 	Arthrobacter
AR 	-- 	21 	70,132 	61.7 	Lytic 	Arthrobacter
AS 	3 	30 	38,607 	66.8 	Temperate 	Arthrobacter
AT 	-- 	4 	59,348 	63.3 	Lytic 	Arthrobacter
AU 	6 	40 	57,326 	50.3 	Lytic 	Arthrobacter
AV 	-- 	6 	45,830 	45.8 	Lytic 	Arthrobacter
AW 	-- 	15 	54,466 	51.6 	Lytic 	Arthrobacter
AX 	-- 	4 	15,417 	56.5 	Lytic 	Arthrobacter
AY 	-- 	29 	52,637 	62.7 	Temperate 	Arthrobacter
AZ 	4 	69 	43,413 	67.4 	Temperate 	Arthrobacter,Curtobacterium
B 	13 	428 	68,874 	67.2 	Lytic 	Mycobacterium
BA 	-- 	3 	49,633 	70.9 	Temperate 	Streptomyces
BB 	2 	11 	41,345 	62.9 	Temperate 	Streptomyces
BC 	4 	12 	38,840 	72.2 	Temperate 	Streptomyces
BD 	6 	113 	50,625 	66.4 	Temperate 	Streptomyces
BE 	2 	69 	132,438 	49.6 	Lytic 	Streptomyces
BF 	-- 	23 	45,973 	60.1 	Lytic 	Streptomyces
BG 	-- 	11 	58,820 	69.1 	Lytic 	Streptomyces
BH 	-- 	11 	54,426 	68.2 	Lytic 	Streptomyces
BI 	7 	44 	52,869 	59.6 	Lytic 	Streptomyces
BJ 	-- 	2 	38,302 	67.5 	Temperate 	Streptomyces
BK 	2 	27 	129,003 	48.0 	Lytic 	Streptomyces
BL 	-- 	3 	42,629 	64.9 	Temperate 	Streptomyces
BM 	-- 	8 	189,924 	66.6 	Lytic 	Streptomyces
BN 	-- 	9 	69,132 	64.2 	Lytic 	Streptomyces
BO 	-- 	3 	18,297 	54.2 	Unknown 	Streptomyces
BP 	-- 	8 	37,665 	71.2 	Unknown 	Streptomyces
BQ 	-- 	4 	82,318 	66.8 	Unknown 	Streptomyces
BR 	-- 	2 	82,412 	63.9 	Unknown 	Streptomyces
BS 	-- 	4 	114,543 	53.0 	Unknown 	Streptomyces
BU 	-- 	48 	29,439 	54.1 	Lytic 	Propionibacterium
BV 	-- 	3 	35,480 	64.4 	Temperate 	Propionibacterium
BW 	-- 	4 	37,818 	65.5 	Temperate 	Propionibacterium
BX 	-- 	2 	38,856 	64.9 	Temperate 	Propionibacterium
C 	2 	192 	155,635 	64.7 	Lytic 	Mycobacterium
CA 	-- 	38 	46,597 	58.8 	Temperate 	Rhodococcus
CB 	-- 	3 	133,260 	41.3 	Lytic 	Rhodococcus
CC 	-- 	2 	77,431 	53.4 	Lytic 	Rhodococcus
CD 	-- 	7 	44,007 	67.4 	Lytic 	Gordonia
CE 	-- 	2 	140,924 	44.8 	Unknown 	Rhodococcus
CF 	-- 	4 	59,907 	65.7 	Unknown 	Rhodococcus
CG 	-- 	2 	137,358 	48.0 	Unknown 	Rhodococcus
CP 	-- 	7 	57,888 	65.4 	Unknown 	Gordonia
CQ 	2 	17 	92,841 	61.9 	Temperate 	Gordonia
CR 	5 	49 	66,734 	65.9 	Lytic 	Gordonia,Rhodococcus
CS 	4 	78 	75,170 	58.9 	Lytic 	Gordonia
CT 	-- 	63 	46,411 	60.8 	Lytic 	Gordonia
CU 	5 	12 	44,669 	65.6 	Temperate 	Gordonia
CV 	-- 	43 	50,636 	67.1 	Temperate 	Gordonia
CW 	3 	7 	16,660 	66.7 	Temperate 	Gordonia
CX 	-- 	5 	81,070 	47.0 	Temperate 	Gordonia
CY 	2 	17 	52,225 	66.5 	Temperate 	Gordonia
CZ 	8 	86 	49,115 	66.4 	Temperate 	Gordonia
D 	2 	22 	64,789 	59.6 	Lytic 	Mycobacterium
DA 	-- 	3 	45,268 	64.7 	Unknown 	Gordonia
DB 	-- 	19 	46,056 	67.0 	Temperate 	Gordonia
DC 	2 	31 	58,860 	67.7 	Temperate 	Gordonia
DD 	-- 	3 	100,000 	59.7 	Unknown 	Gordonia
DE 	5 	82 	58,571 	67.7 	Lytic 	Gordonia
DF 	3 	6 	77,161 	52.0 	Lytic 	Gordonia
DG 	2 	9 	66,155 	59.5 	Lytic 	Gordonia
DH 	-- 	3 	42,185 	65.3 	Temperate 	Gordonia
DI 	-- 	15 	50,345 	67.2 	Temperate 	Gordonia
DJ 	-- 	52 	60,470 	51.5 	Lytic 	Gordonia
DK 	-- 	2 	121,957 	54.6 	Lytic 	Gordonia
DL 	-- 	5 	92,054 	65.0 	Temperate 	Gordonia
DM 	-- 	3 	16,386 	69.8 	Temperate 	Gordonia
DN 	4 	28 	55,006 	63.1 	Temperate 	Gordonia
DO 	-- 	4 	151,557 	66.0 	Lytic 	Gordonia
DP 	-- 	6 	68,251 	50.3 	Lytic 	Gordonia
DQ 	-- 	16 	89,621 	60.1 	Lytic 	Gordonia
DR 	-- 	22 	61,541 	69.3 	Lytic 	Gordonia
DS 	-- 	6 	112,516 	53.2 	Lytic 	Gordonia
DT 	-- 	6 	42,029 	67.6 	Unknown 	Gordonia
DU 	2 	7 	76,190 	58.7 	Unknown 	Gordonia
DV 	-- 	35 	67,261 	58.2 	Unknown 	Gordonia
DW 	-- 	3 	50,900 	66.6 	Unknown 	Gordonia
DX 	-- 	2 	135,846 	65.0 	Unknown 	Gordonia
DY 	-- 	7 	40,289 	67.4 	Unknown 	Gordonia
DZ 	-- 	5 	86,893 	67.6 	Unknown 	Gordonia
E 	-- 	130 	75,493 	63.0 	Temperate 	Mycobacterium
EA 	11 	186 	41,205 	63.4 	Lytic 	Microbacterium
EB 	-- 	70 	40,999 	67.3 	Lytic 	Curtobacterium,Microbacterium
EC 	-- 	43 	53,433 	68.8 	Lytic 	Microbacterium
ED 	2 	25 	63,270 	62.8 	Lytic 	Microbacterium
EE 	-- 	131 	17,371 	68.7 	Lytic 	Microbacterium
EF 	-- 	37 	56,475 	63.6 	Lytic 	Microbacterium
EG 	-- 	52 	62,208 	67.1 	Lytic 	Microbacterium
EH 	-- 	13 	47,802 	70.0 	Temperate 	Microbacterium
EI 	-- 	7 	55,343 	70.1 	Unknown 	Microbacterium
EJ 	-- 	15 	42,261 	66.2 	Unknown 	Microbacterium
EK 	2 	48 	54,204 	59.4 	Unknown 	Microbacterium
EL 	-- 	4 	61,078 	55.2 	Unknown 	Microbacterium
EM 	2 	10 	53,886 	63.8 	Unknown 	Arthrobacter,Microbacterium
EN 	-- 	8 	66,878 	52.3 	Lytic 	Corynebacterium
EO 	-- 	4 	40,482 	60.0 	Unknown 	Corynebacterium
EP 	-- 	8 	44,554 	67.9 	Unknown 	Corynebacterium
F 	6 	239 	57,341 	61.5 	Temperate 	Mycobacterium
FA 	-- 	12 	42,687 	65.2 	Temperate 	Arthrobacter
FB 	-- 	5 	38,383 	62.6 	Unknown 	Arthrobacter
FC 	-- 	8 	194,148 	53.5 	Lytic 	Arthrobacter
FD 	-- 	5 	20,008 	59.3 	Lytic 	Arthrobacter
FE 	-- 	9 	15,532 	65.5 	Lytic 	Arthrobacter
FF 	-- 	7 	42,541 	65.0 	Temperate 	Arthrobacter
FG 	-- 	2 	60,639 	66.9 	Temperate 	Arthrobacter
FH 	-- 	7 	49,540 	69.8 	Unknown 	Arthrobacter
FI 	-- 	3 	58,573 	48.1 	Unknown 	Arthrobacter
FJ 	-- 	2 	46,102 	64.5 	Unknown 	Arthrobacter
FK 	-- 	3 	113,449 	47.6 	Unknown 	Arthrobacter
FL 	-- 	3 	48,704 	65.9 	Unknown 	Arthrobacter
